Player Name,Pos,Value,NFL_Team
Ja'Marr Chase,WR1,9988.0,CIN
Bijan Robinson,RB1,9959.0,ATL
Jahmyr Gibbs,RB2,9907.0,DET
Amon-Ra St. Brown,WR2,9259.0,DET
Puka Nacua,WR3,8795.0,LAR
Jaxon Smith-Njigba,WR4,8752.0,SEA
Jonathan Taylor,RB3,8371.0,IND
Josh Allen,QB1,8288.0,BUF
Christian McCaffrey,RB4,8208.0,SFO
Justin Jefferson,WR5,8207.0,MIN
CeeDee Lamb,WR6,8178.0,DAL
Brock Bowers,TE1,8092.0,LVR
Omarion Hampton,RB5,8037.0,LAC
Lamar Jackson,QB2,7907.0,BAL
James Cook,RB6,7895.0,BUF
Chase Brown,RB7,7859.0,CIN
Trey McBride,TE2,7844.0,ARI
Saquon Barkley,RB8,7771.0,PHI
Ashton Jeanty,RB9,7718.0,LVR
De'Von Achane,RB10,7613.0,MIA
Malik Nabers,WR7,7579.0,NYG
Drake London,WR8,7570.0,ATL
George Pickens,WR9,7555.0,DAL
DeVonta Smith,WR10,7464.0,PHI
Kenneth Walker III,RB11,7345.0,KCC
Chris Olave,WR11,7254.0,NOS
Ladd McConkey,WR12,7253.0,LAC
Jeremiyah Love,RB12,7232.0,ARI
Nico Collins,WR13,7213.0,HOU
Zay Flowers,WR14,7137.0,BAL
Derrick Henry,RB13,7083.0,BAL
Garrett Wilson,WR15,7066.0,NYJ
Colston Loveland,TE3,7043.0,CHI
A.J. Brown,WR16,7028.0,NEP
Tetairoa McMillan,WR17,6983.0,CAR
Emeka Egbuka,WR18,6914.0,TBB
Javonte Williams,RB14,6866.0,DAL
Joe Burrow,QB3,6863.0,CIN
Luther Burden,WR19,6851.0,CHI
Tyler Warren,TE4,6827.0,IND
Breece Hall,RB15,6823.0,NYJ
Tee Higgins,WR20,6789.0,CIN
Caleb Williams,QB4,6743.0,CHI
Drake Maye,QB5,6680.0,NEP
Quinshon Judkins,RB16,6596.0,CLE
Rashee Rice,WR21,6580.0,KCC
Kyren Williams,RB17,6570.0,LAR
Jadarian Price,RB18,6565.0,SEA
Justin Herbert,QB6,6561.0,LAC
Jalen Hurts,QB7,6464.0,PHI
Jayden Daniels,QB8,6438.0,WAS
Jaxson Dart,QB9,6426.0,NYG
Rome Odunze,WR22,6386.0,CHI
Jaylen Waddle,WR23,6369.0,DEN
Tucker Kraft,TE5,6359.0,GBP
Cam Skattebo,RB19,6355.0,NYG
Travis Etienne,RB20,6347.0,NOS
David Montgomery,RB21,6238.0,HOU
Jameson Williams,WR24,6179.0,DET
Bhayshul Tuten,RB22,6173.0,JAC
Trevor Lawrence,QB10,6156.0,JAC
Bo Nix,QB11,6155.0,DEN
Bucky Irving,RB23,6141.0,TBB
D'Andre Swift,RB24,6125.0,CHI
D.J. Moore,WR25,6096.0,BUF
Carnell Tate,WR26,6082.0,TEN
Sam LaPorta,TE6,6015.0,DET
Christian Watson,WR27,5857.0,GBP
Dak Prescott,QB12,5772.0,DAL
Patrick Mahomes,QB13,5689.0,KCC
Marvin Harrison Jr.,WR28,5654.0,ARI
George Kittle,TE7,5653.0,SFO
Harold Fannin,TE8,5615.0,CLE
Davante Adams,WR29,5580.0,LAR
Mike Evans,WR30,5571.0,SFO
Kyle Pitts,TE9,5541.0,ATL
KC Concepcion,WR31,5504.0,CLE
Jordan Love,QB14,5490.0,GBP
Alec Pierce,WR32,5469.0,IND
Terry McLaurin,WR33,5454.0,WAS
Baker Mayfield,QB15,5453.0,TBB
Brock Purdy,QB16,5426.0,SFO
TreVeyon Henderson,RB25,5370.0,NEP
Brian Thomas Jr.,WR34,5370.0,JAC
Jayden Reed,WR35,5354.0,GBP
